strain,id,day,antibiotic,concentration,OD
ΔmutS,3,3,rifampicin,0.125,1.536
ΔmutS,4,3,rifampicin,0.125,1.096
ΔmutS,5,3,rifampicin,0.125,1.152
ΔmutS,6,3,rifampicin,0.125,1.077
ΔmutS,7,3,rifampicin,0.125,1.151
ΔmutS,8,3,rifampicin,0.125,1.563
ΔmutS,9,3,rifampicin,0.125,1.076
ΔmutS,10,3,rifampicin,0.125,1.421
ΔmutS,11,3,rifampicin,0.125,0.971
ΔmutS,12,3,rifampicin,0.125,1.091
ΔmutS,13,3,rifampicin,0.125,1.038
ΔmutS,14,3,rifampicin,0.125,1.191
ΔmutS,15,3,rifampicin,0.125,1.083
ΔmutS,1,4,rifampicin,0.25,1.578
ΔmutS,2,4,rifampicin,0.25,1.485
ΔmutS,3,4,rifampicin,0.25,1.552
ΔmutS,4,4,rifampicin,0.25,1.268
ΔmutS,5,4,rifampicin,0.25,1.418
ΔmutS,6,4,rifampicin,0.25,1.626
ΔmutS,7,4,rifampicin,0.25,1.53
ΔmutS,8,4,rifampicin,0.25,1.554
ΔmutS,9,4,rifampicin,0.25,1.489
ΔmutS,10,4,rifampicin,0.25,1.595
ΔmutS,11,4,rifampicin,0.25,1.4
ΔmutS,12,4,rifampicin,0.25,1.333
ΔmutS,13,4,rifampicin,0.25,1.456
ΔmutS,14,4,rifampicin,0.25,1.472
ΔmutS,15,4,rifampicin,0.25,1.435
ΔmutS,1,5,rifampicin,0.5,1.601
ΔmutS,2,5,rifampicin,0.5,1.525
ΔmutS,3,5,rifampicin,0.5,1.532
ΔmutS,4,5,rifampicin,0.5,1.546
ΔmutS,5,5,rifampicin,0.5,1.468
ΔmutS,6,5,rifampicin,0.5,1.447
ΔmutS,7,5,rifampicin,0.5,1.502
ΔmutS,8,5,rifampicin,0.5,1.613
ΔmutS,9,5,rifampicin,0.5,1.59
ΔmutS,10,5,rifampicin,0.5,1.601
ΔmutS,11,5,rifampicin,0.5,1.641
ΔmutS,12,5,rifampicin,0.5,1.519
ΔmutS,13,5,rifampicin,0.5,1.516
ΔmutS,14,5,rifampicin,0.5,1.478
ΔmutS,15,5,rifampicin,0.5,1.615
ΔmutS,1,6,rifampicin,1,1.452
ΔmutS,2,6,rifampicin,1,1.415
ΔmutS,3,6,rifampicin,1,1.445
ΔmutS,4,6,rifampicin,1,1.305
ΔmutS,5,6,rifampicin,1,1.403
ΔmutS,6,6,rifampicin,1,1.505
ΔmutS,7,6,rifampicin,1,1.403
ΔmutS,8,6,rifampicin,1,1.482
ΔmutS,9,6,rifampicin,1,1.403
ΔmutS,10,6,rifampicin,1,1.499
ΔmutS,11,6,rifampicin,1,1.556
ΔmutS,12,6,rifampicin,1,1.459
ΔmutS,13,6,rifampicin,1,1.415
ΔmutS,14,6,rifampicin,1,1.431
ΔmutS,15,6,rifampicin,1,1.365
ΔmutS,1,7,rifampicin,2,1.373
ΔmutS,2,7,rifampicin,2,1.41
ΔmutS,3,7,rifampicin,2,1.373
ΔmutS,4,7,rifampicin,2,1.376
ΔmutS,5,7,rifampicin,2,1.481
ΔmutS,6,7,rifampicin,2,1.489
ΔmutS,7,7,rifampicin,2,1.383
ΔmutS,8,7,rifampicin,2,1.436
ΔmutS,9,7,rifampicin,2,1.368
ΔmutS,10,7,rifampicin,2,1.341
ΔmutS,11,7,rifampicin,2,1.421
ΔmutS,12,7,rifampicin,2,1.343
ΔmutS,13,7,rifampicin,2,1.348
ΔmutS,14,7,rifampicin,2,1.363
ΔmutS,15,7,rifampicin,2,1.351
ΔmutS,16,1,rifampicin,0,1.545
ΔmutS,17,1,rifampicin,0,1.615
ΔmutS,18,1,rifampicin,0,1.667
ΔmutS,19,1,rifampicin,0,1.62
ΔmutS,20,1,rifampicin,0,1.629
ΔmutS,21,1,rifampicin,0,1.57
ΔmutS,22,1,rifampicin,0,1.54
ΔmutS,23,1,rifampicin,0,1.524
ΔmutS,24,1,rifampicin,0,1.601
ΔmutS,25,1,rifampicin,0,1.613
ΔmutS,26,1,rifampicin,0,1.406
ΔmutS,27,1,rifampicin,0,1.567
ΔmutS,28,1,rifampicin,0,1.626
ΔmutS,29,1,rifampicin,0,1.563
ΔmutS,30,1,rifampicin,0,1.549
ΔmutS,16,2,rifampicin,0.0625,1.227
ΔmutS,17,2,rifampicin,0.0625,1.372
ΔmutS,18,2,rifampicin,0.0625,1.205
ΔmutS,19,2,rifampicin,0.0625,1.451
ΔmutS,20,2,rifampicin,0.0625,1.384
ΔmutS,21,2,rifampicin,0.0625,1.32
ΔmutS,22,2,rifampicin,0.0625,1.319
ΔmutS,23,2,rifampicin,0.0625,1.197
ΔmutS,24,2,rifampicin,0.0625,1.38
ΔmutS,25,2,rifampicin,0.0625,1.286
ΔmutS,26,2,rifampicin,0.0625,1.147
ΔmutS,27,2,rifampicin,0.0625,1.305
ΔmutS,28,2,rifampicin,0.0625,1.208
ΔmutS,29,2,rifampicin,0.0625,1.314
ΔmutS,30,2,rifampicin,0.0625,1.253
ΔmutS,16,3,rifampicin,0.125,1.235
ΔmutS,17,3,rifampicin,0.125,1.325
ΔmutS,18,3,rifampicin,0.125,1.491
ΔmutS,19,3,rifampicin,0.125,1.126
ΔmutS,20,3,rifampicin,0.125,1.149
ΔmutS,21,3,rifampicin,0.125,1.225
ΔmutS,22,3,rifampicin,0.125,1.156
ΔmutS,23,3,rifampicin,0.125,1.211
ΔmutS,24,3,rifampicin,0.125,1.233
ΔmutS,25,3,rifampicin,0.125,1.15
ΔmutS,26,3,rifampicin,0.125,1.078
ΔmutS,27,3,rifampicin,0.125,1.28
ΔmutS,28,3,rifampicin,0.125,1.115
ΔmutS,29,3,rifampicin,0.125,1.2
ΔmutS,30,3,rifampicin,0.125,1.301
ΔmutS,16,4,rifampicin,0.25,1.395
ΔmutS,17,4,rifampicin,0.25,0.988
ΔmutS,18,4,rifampicin,0.25,1.398
ΔmutS,19,4,rifampicin,0.25,1.331
ΔmutS,20,4,rifampicin,0.25,1.537
ΔmutS,21,4,rifampicin,0.25,1.333
ΔmutS,22,4,rifampicin,0.25,1.482
ΔmutS,23,4,rifampicin,0.25,1.393
ΔmutS,24,4,rifampicin,0.25,1.438
ΔmutS,25,4,rifampicin,0.25,1.324
ΔmutS,26,4,rifampicin,0.25,1.494
ΔmutS,27,4,rifampicin,0.25,1.212
ΔmutS,28,4,rifampicin,0.25,1.24
ΔmutS,29,4,rifampicin,0.25,1.393
ΔmutS,30,4,rifampicin,0.25,1.425
ΔmutS,16,5,rifampicin,0.5,1.592
ΔmutS,17,5,rifampicin,0.5,1.587
ΔmutS,18,5,rifampicin,0.5,1.526
ΔmutS,19,5,rifampicin,0.5,1.648
ΔmutS,20,5,rifampicin,0.5,1.453
ΔmutS,21,5,rifampicin,0.5,1.597
ΔmutS,22,5,rifampicin,0.5,1.655
ΔmutS,23,5,rifampicin,0.5,1.592
ΔmutS,24,5,rifampicin,0.5,1.496
ΔmutS,25,5,rifampicin,0.5,1.575
ΔmutS,26,5,rifampicin,0.5,1.654
ΔmutS,27,5,rifampicin,0.5,1.506
ΔmutS,28,5,rifampicin,0.5,1.508
ΔmutS,29,5,rifampicin,0.5,1.459
ΔmutS,30,5,rifampicin,0.5,1.55
ΔmutS,16,6,rifampicin,1,1.392
ΔmutS,17,6,rifampicin,1,1.363
ΔmutS,18,6,rifampicin,1,1.5
ΔmutS,19,6,rifampicin,1,1.405
ΔmutS,20,6,rifampicin,1,1.488
ΔmutS,21,6,rifampicin,1,1.475
ΔmutS,22,6,rifampicin,1,1.663
ΔmutS,23,6,rifampicin,1,1.589
ΔmutS,24,6,rifampicin,1,1.477
ΔmutS,25,6,rifampicin,1,1.504
ΔmutS,26,6,rifampicin,1,1.531
ΔmutS,27,6,rifampicin,1,1.531
ΔmutS,28,6,rifampicin,1,1.55
ΔmutS,29,6,rifampicin,1,1.529
ΔmutS,30,6,rifampicin,1,1.454
ΔmutS,16,7,rifampicin,2,1.636
ΔmutS,17,7,rifampicin,2,1.585
ΔmutS,18,7,rifampicin,2,1.547
ΔmutS,19,7,rifampicin,2,1.599
ΔmutS,20,7,rifampicin,2,1.487
ΔmutS,21,7,rifampicin,2,1.59
ΔmutS,22,7,rifampicin,2,1.684
ΔmutS,23,7,rifampicin,2,1.572
ΔmutS,24,7,rifampicin,2,1.535
ΔmutS,25,7,rifampicin,2,1.54
ΔmutS,26,7,rifampicin,2,1.598
ΔmutS,27,7,rifampicin,2,1.504
ΔmutS,28,7,rifampicin,2,1.467
ΔmutS,29,7,rifampicin,2,1.516
ΔmutS,30,7,rifampicin,2,1.487
ΔmutS,31,1,rifampicin,0,1.691
ΔmutS,32,1,rifampicin,0,1.662
ΔmutS,33,1,rifampicin,0,1.65
ΔmutS,34,1,rifampicin,0,1.653
ΔmutS,35,1,rifampicin,0,1.565
ΔmutS,36,1,rifampicin,0,1.533
ΔmutS,37,1,rifampicin,0,1.562
ΔmutS,38,1,rifampicin,0,1.508
ΔmutS,39,1,rifampicin,0,1.613
ΔmutS,40,1,rifampicin,0,1.576
ΔmutS,41,1,rifampicin,0,1.515
ΔmutS,42,1,rifampicin,0,1.524
ΔmutS,43,1,rifampicin,0,1.441
ΔmutS,44,1,rifampicin,0,1.508
ΔmutS,45,1,rifampicin,0,1.536
ΔmutS,31,2,rifampicin,0.0625,1.307
ΔmutS,32,2,rifampicin,0.0625,1.279
ΔmutS,33,2,rifampicin,0.0625,1.223
ΔmutS,34,2,rifampicin,0.0625,1.389
ΔmutS,35,2,rifampicin,0.0625,1.385
ΔmutS,36,2,rifampicin,0.0625,1.265
ΔmutS,37,2,rifampicin,0.0625,1.216
ΔmutS,38,2,rifampicin,0.0625,1.314
ΔmutS,39,2,rifampicin,0.0625,1.21
ΔmutS,40,2,rifampicin,0.0625,1.282
ΔmutS,41,2,rifampicin,0.0625,1.101
ΔmutS,42,2,rifampicin,0.0625,1.194
ΔmutS,43,2,rifampicin,0.0625,1.136
ΔmutS,44,2,rifampicin,0.0625,1.202
ΔmutS,45,2,rifampicin,0.0625,1.261
ΔmutS,31,3,rifampicin,0.125,1.185
ΔmutS,32,3,rifampicin,0.125,1.185
ΔmutS,33,3,rifampicin,0.125,1.179
ΔmutS,34,3,rifampicin,0.125,1.309
ΔmutS,35,3,rifampicin,0.125,1.223
ΔmutS,36,3,rifampicin,0.125,0.9
ΔmutS,37,3,rifampicin,0.125,1.107
ΔmutS,38,3,rifampicin,0.125,1.107
ΔmutS,39,3,rifampicin,0.125,1.144
ΔmutS,40,3,rifampicin,0.125,1.196
ΔmutS,41,3,rifampicin,0.125,0.794
ΔmutS,42,3,rifampicin,0.125,0.877
ΔmutS,43,3,rifampicin,0.125,0.944
ΔmutS,44,3,rifampicin,0.125,0.763
ΔmutS,45,3,rifampicin,0.125,0.985
ΔmutS,31,4,rifampicin,0.25,1.456
ΔmutS,32,4,rifampicin,0.25,1.224
ΔmutS,33,4,rifampicin,0.25,1.551
ΔmutS,34,4,rifampicin,0.25,1.628
ΔmutS,35,4,rifampicin,0.25,1.492
ΔmutS,36,4,rifampicin,0.25,1.405
ΔmutS,37,4,rifampicin,0.25,1.475
ΔmutS,38,4,rifampicin,0.25,1.383
ΔmutS,39,4,rifampicin,0.25,1.479
ΔmutS,40,4,rifampicin,0.25,1.493
ΔmutS,41,4,rifampicin,0.25,1.542
ΔmutS,42,4,rifampicin,0.25,1.432
ΔmutS,43,4,rifampicin,0.25,1.307
ΔmutS,44,4,rifampicin,0.25,1.399
ΔmutS,45,4,rifampicin,0.25,1.457
ΔmutS,31,5,rifampicin,0.5,1.55
ΔmutS,32,5,rifampicin,0.5,1.46
ΔmutS,33,5,rifampicin,0.5,1.456
ΔmutS,34,5,rifampicin,0.5,1.534
ΔmutS,35,5,rifampicin,0.5,1.395
ΔmutS,36,5,rifampicin,0.5,1.372
ΔmutS,37,5,rifampicin,0.5,1.41
ΔmutS,38,5,rifampicin,0.5,1.411
ΔmutS,39,5,rifampicin,0.5,1.57
ΔmutS,40,5,rifampicin,0.5,1.47
ΔmutS,41,5,rifampicin,0.5,1.321
ΔmutS,42,5,rifampicin,0.5,1.303
ΔmutS,43,5,rifampicin,0.5,1.259
ΔmutS,44,5,rifampicin,0.5,1.489
ΔmutS,45,5,rifampicin,0.5,1.514
ΔmutS,31,6,rifampicin,1,1.552
ΔmutS,32,6,rifampicin,1,1.589
ΔmutS,33,6,rifampicin,1,1.636
ΔmutS,34,6,rifampicin,1,1.466
ΔmutS,35,6,rifampicin,1,1.478
ΔmutS,36,6,rifampicin,1,1.54
ΔmutS,37,6,rifampicin,1,1.49
ΔmutS,38,6,rifampicin,1,1.579
ΔmutS,39,6,rifampicin,1,1.505
ΔmutS,40,6,rifampicin,1,1.536
ΔmutS,41,6,rifampicin,1,1.516
ΔmutS,42,6,rifampicin,1,1.468
ΔmutS,43,6,rifampicin,1,1.367
ΔmutS,44,6,rifampicin,1,1.489
ΔmutS,45,6,rifampicin,1,1.309
ΔmutS,31,7,rifampicin,2,1.659
ΔmutS,32,7,rifampicin,2,1.664
ΔmutS,33,7,rifampicin,2,1.559
ΔmutS,34,7,rifampicin,2,1.638
ΔmutS,35,7,rifampicin,2,1.705
ΔmutS,36,7,rifampicin,2,1.629
ΔmutS,37,7,rifampicin,2,1.56
ΔmutS,38,7,rifampicin,2,1.637
ΔmutS,39,7,rifampicin,2,1.599
ΔmutS,40,7,rifampicin,2,1.507
ΔmutS,41,7,rifampicin,2,1.547
ΔmutS,42,7,rifampicin,2,1.476
ΔmutS,43,7,rifampicin,2,1.384
ΔmutS,44,7,rifampicin,2,1.541
ΔmutS,45,7,rifampicin,2,1.522
ΔmutS,1,1,combination,0,1.123
ΔmutS,2,1,combination,0,1.194
ΔmutS,3,1,combination,0,0.979
ΔmutS,4,1,combination,0,1.123
ΔmutS,5,1,combination,0,1.045
ΔmutS,6,1,combination,0,1.247
ΔmutS,7,1,combination,0,1.127
ΔmutS,8,1,combination,0,0.998
ΔmutS,9,1,combination,0,1.094
ΔmutS,10,1,combination,0,1.069
ΔmutS,11,1,combination,0,1.214
ΔmutS,12,1,combination,0,1.329
ΔmutS,13,1,combination,0,1.032
ΔmutS,14,1,combination,0,1.135
ΔmutS,15,1,combination,0,0.945
ΔmutS,16,1,combination,0,1.038
ΔmutS,17,1,combination,0,1.008
ΔmutS,18,1,combination,0,0.986
ΔmutS,19,1,combination,0,1.007
ΔmutS,20,1,combination,0,1.053
ΔmutS,21,1,combination,0,1.157
ΔmutS,22,1,combination,0,1.087
ΔmutS,23,1,combination,0,1.217
ΔmutS,24,1,combination,0,1.07
ΔmutS,25,1,combination,0,1.234
ΔmutS,26,1,combination,0,1.033
ΔmutS,27,1,combination,0,1.035
ΔmutS,28,1,combination,0,1.197
ΔmutS,29,1,combination,0,1.128
ΔmutS,30,1,combination,0,1.163
ΔmutS,31,1,combination,0,1.146
ΔmutS,32,1,combination,0,1.22
ΔmutS,33,1,combination,0,1.024
ΔmutS,34,1,combination,0,1.325
ΔmutS,35,1,combination,0,1.076
ΔmutS,36,1,combination,0,1.026
ΔmutS,37,1,combination,0,1.149
ΔmutS,38,1,combination,0,1.097
ΔmutS,39,1,combination,0,1.217
ΔmutS,40,1,combination,0,1.185
ΔmutS,41,1,combination,0,1.246
ΔmutS,42,1,combination,0,1.282
ΔmutS,43,1,combination,0,1.159
ΔmutS,44,1,combination,0,1.087
ΔmutS,45,1,combination,0,1.279
ΔmutS,46,1,combination,0,1.067
ΔmutS,47,1,combination,0,0.949
ΔmutS,48,1,combination,0,0.92
ΔmutS,49,1,combination,0,1.099
ΔmutS,50,1,combination,0,0.886
ΔmutS,51,1,combination,0,1.046
ΔmutS,52,1,combination,0,1.046
ΔmutS,53,1,combination,0,1.079
ΔmutS,54,1,combination,0,1.07
ΔmutS,1,2,combination,0.0625,1.271
ΔmutS,2,2,combination,0.0625,0.048
ΔmutS,3,2,combination,0.0625,1.338
ΔmutS,4,2,combination,0.0625,0.096
ΔmutS,5,2,combination,0.0625,1.199
ΔmutS,6,2,combination,0.0625,0.987
ΔmutS,7,2,combination,0.0625,1.384
ΔmutS,8,2,combination,0.0625,1.374
ΔmutS,9,2,combination,0.0625,0.655
ΔmutS,10,2,combination,0.0625,0.816
ΔmutS,11,2,combination,0.0625,1.321
ΔmutS,12,2,combination,0.0625,0.042
ΔmutS,13,2,combination,0.0625,0.039
ΔmutS,14,2,combination,0.0625,0.057
ΔmutS,15,2,combination,0.0625,0.659
ΔmutS,16,2,combination,0.0625,0.527
ΔmutS,17,2,combination,0.0625,1.056
ΔmutS,18,2,combination,0.0625,0.098
ΔmutS,19,2,combination,0.0625,0.276
ΔmutS,20,2,combination,0.0625,1.272
ΔmutS,21,2,combination,0.0625,0.329
ΔmutS,22,2,combination,0.0625,1.282
ΔmutS,23,2,combination,0.0625,1.348
ΔmutS,24,2,combination,0.0625,0.506
ΔmutS,25,2,combination,0.0625,1.216
ΔmutS,26,2,combination,0.0625,0.077
ΔmutS,27,2,combination,0.0625,0.193
ΔmutS,28,2,combination,0.0625,1.27
ΔmutS,29,2,combination,0.0625,0.196
ΔmutS,30,2,combination,0.0625,1.216
ΔmutS,31,2,combination,0.0625,0.526
ΔmutS,32,2,combination,0.0625,1.126
ΔmutS,33,2,combination,0.0625,0.053
ΔmutS,34,2,combination,0.0625,1.394
ΔmutS,35,2,combination,0.0625,1.001
ΔmutS,36,2,combination,0.0625,1.466
ΔmutS,37,2,combination,0.0625,1.364
ΔmutS,38,2,combination,0.0625,1.304
ΔmutS,39,2,combination,0.0625,1.194
ΔmutS,40,2,combination,0.0625,1.265
ΔmutS,41,2,combination,0.0625,1.221
ΔmutS,42,2,combination,0.0625,0.05
ΔmutS,43,2,combination,0.0625,1.336
ΔmutS,44,2,combination,0.0625,1.191
ΔmutS,45,2,combination,0.0625,1.268
ΔmutS,46,2,combination,0.0625,0.651
ΔmutS,47,2,combination,0.0625,1.179
ΔmutS,48,2,combination,0.0625,0.884
ΔmutS,49,2,combination,0.0625,0.225
ΔmutS,50,2,combination,0.0625,0.397
ΔmutS,51,2,combination,0.0625,1.334
ΔmutS,52,2,combination,0.0625,1.258
ΔmutS,53,2,combination,0.0625,1.309
ΔmutS,54,2,combination,0.0625,0.194
ΔmutS,1,3,combination,0.125,1.282
ΔmutS,2,3,combination,0.125,0.948
ΔmutS,3,3,combination,0.125,1.427
ΔmutS,4,3,combination,0.125,1.478
ΔmutS,5,3,combination,0.125,0.849
ΔmutS,6,3,combination,0.125,1.069
ΔmutS,7,3,combination,0.125,1.259
ΔmutS,8,3,combination,0.125,1.061
ΔmutS,9,3,combination,0.125,1.256
ΔmutS,10,3,combination,0.125,1.159
ΔmutS,11,3,combination,0.125,0.999
ΔmutS,12,3,combination,0.125,0.04
ΔmutS,13,3,combination,0.125,0.054
ΔmutS,14,3,combination,0.125,1.114
ΔmutS,15,3,combination,0.125,1.181
ΔmutS,16,3,combination,0.125,1.337
ΔmutS,17,3,combination,0.125,1.22
ΔmutS,18,3,combination,0.125,1.001
ΔmutS,19,3,combination,0.125,0.967
ΔmutS,20,3,combination,0.125,1.114
ΔmutS,21,3,combination,0.125,0.05
ΔmutS,22,3,combination,0.125,1.038
ΔmutS,23,3,combination,0.125,1.307
ΔmutS,24,3,combination,0.125,1.299
ΔmutS,25,3,combination,0.125,1.137
ΔmutS,26,3,combination,0.125,0.142
ΔmutS,27,3,combination,0.125,0.344
ΔmutS,28,3,combination,0.125,1.173
ΔmutS,29,3,combination,0.125,1.04
ΔmutS,30,3,combination,0.125,1.287
ΔmutS,31,3,combination,0.125,1.387
ΔmutS,32,3,combination,0.125,1.182
ΔmutS,33,3,combination,0.125,0.038
ΔmutS,34,3,combination,0.125,1.162
ΔmutS,35,3,combination,0.125,1.134
ΔmutS,36,3,combination,0.125,1.23
ΔmutS,37,3,combination,0.125,1.115
ΔmutS,38,3,combination,0.125,1.167
ΔmutS,39,3,combination,0.125,1.062
ΔmutS,40,3,combination,0.125,0.949
ΔmutS,41,3,combination,0.125,0.886
ΔmutS,42,3,combination,0.125,0.57
ΔmutS,43,3,combination,0.125,1.147
ΔmutS,44,3,combination,0.125,0.872
ΔmutS,45,3,combination,0.125,1.123
ΔmutS,46,3,combination,0.125,1.297
ΔmutS,47,3,combination,0.125,1.308
ΔmutS,48,3,combination,0.125,1.26
ΔmutS,49,3,combination,0.125,0.483
ΔmutS,50,3,combination,0.125,1.022
ΔmutS,51,3,combination,0.125,1.139
ΔmutS,52,3,combination,0.125,1.182
ΔmutS,53,3,combination,0.125,1.078
ΔmutS,54,3,combination,0.125,1.184
ΔmutS,1,4,combination,0.25,1.684
ΔmutS,2,4,combination,0.25,0.082
ΔmutS,3,4,combination,0.25,1.624
ΔmutS,4,4,combination,0.25,1.042
ΔmutS,5,4,combination,0.25,1.358
ΔmutS,6,4,combination,0.25,0.844
ΔmutS,7,4,combination,0.25,1.52
ΔmutS,8,4,combination,0.25,1.716
ΔmutS,9,4,combination,0.25,0.961
ΔmutS,10,4,combination,0.25,1.499
ΔmutS,11,4,combination,0.25,1.505
ΔmutS,12,4,combination,0.25,0.041
ΔmutS,13,4,combination,0.25,0.235
ΔmutS,14,4,combination,0.25,1.036
ΔmutS,15,4,combination,0.25,1.44
ΔmutS,16,4,combination,0.25,1.046
ΔmutS,17,4,combination,0.25,1.514
ΔmutS,18,4,combination,0.25,0.52
ΔmutS,19,4,combination,0.25,0.805
ΔmutS,20,4,combination,0.25,1.5
ΔmutS,21,4,combination,0.25,0.044
ΔmutS,22,4,combination,0.25,1.342
ΔmutS,23,4,combination,0.25,1.129
ΔmutS,24,4,combination,0.25,1.1
ΔmutS,25,4,combination,0.25,1.573
ΔmutS,26,4,combination,0.25,0.138
ΔmutS,27,4,combination,0.25,0.041
ΔmutS,28,4,combination,0.25,1.628
ΔmutS,29,4,combination,0.25,0.678
ΔmutS,30,4,combination,0.25,1.518
ΔmutS,31,4,combination,0.25,1.1
ΔmutS,32,4,combination,0.25,0.975
ΔmutS,33,4,combination,0.25,0.051
ΔmutS,34,4,combination,0.25,1.377
ΔmutS,35,4,combination,0.25,0.852
ΔmutS,36,4,combination,0.25,1.481
ΔmutS,37,4,combination,0.25,0.849
ΔmutS,38,4,combination,0.25,1.439
ΔmutS,39,4,combination,0.25,1.373
ΔmutS,40,4,combination,0.25,1.223
ΔmutS,41,4,combination,0.25,1.099
ΔmutS,42,4,combination,0.25,0.789
ΔmutS,43,4,combination,0.25,1.371
ΔmutS,44,4,combination,0.25,0.878
ΔmutS,45,4,combination,0.25,1.454
ΔmutS,46,4,combination,0.25,1.358
ΔmutS,47,4,combination,0.25,1.607
ΔmutS,48,4,combination,0.25,1.514
ΔmutS,49,4,combination,0.25,0.264
ΔmutS,50,4,combination,0.25,0.824
ΔmutS,51,4,combination,0.25,1.526
ΔmutS,52,4,combination,0.25,1.574
ΔmutS,53,4,combination,0.25,1.466
ΔmutS,54,4,combination,0.25,0.373
ΔmutS,1,5,combination,0.5,1.552
ΔmutS,2,5,combination,0.5,0.048
ΔmutS,3,5,combination,0.5,1.718
ΔmutS,4,5,combination,0.5,1.102
ΔmutS,5,5,combination,0.5,1.468
ΔmutS,6,5,combination,0.5,1.131
ΔmutS,7,5,combination,0.5,1.08
ΔmutS,8,5,combination,0.5,1.251
ΔmutS,9,5,combination,0.5,0.131
ΔmutS,10,5,combination,0.5,1.52
ΔmutS,11,5,combination,0.5,1.614
ΔmutS,12,5,combination,0.5,0.044
ΔmutS,13,5,combination,0.5,0.045
ΔmutS,14,5,combination,0.5,1.384
ΔmutS,15,5,combination,0.5,1.175
ΔmutS,16,5,combination,0.5,1.236
ΔmutS,17,5,combination,0.5,1.152
ΔmutS,18,5,combination,0.5,0.136
ΔmutS,19,5,combination,0.5,0.186
ΔmutS,20,5,combination,0.5,1.574
ΔmutS,21,5,combination,0.5,0.046
ΔmutS,22,5,combination,0.5,0.909
ΔmutS,23,5,combination,0.5,1.234
ΔmutS,24,5,combination,0.5,1.246
ΔmutS,25,5,combination,0.5,1.536
ΔmutS,26,5,combination,0.5,0.045
ΔmutS,27,5,combination,0.5,0.086
ΔmutS,28,5,combination,0.5,1.385
ΔmutS,29,5,combination,0.5,0.092
ΔmutS,30,5,combination,0.5,1.518
