strain,id,day,antibiotic,concentration,OD
ΔmutS,31,5,combination,0.5,0.98
ΔmutS,32,5,combination,0.5,1.221
ΔmutS,33,5,combination,0.5,0.045
ΔmutS,34,5,combination,0.5,0.986
ΔmutS,35,5,combination,0.5,0.187
ΔmutS,36,5,combination,0.5,1.296
ΔmutS,37,5,combination,0.5,0.935
ΔmutS,38,5,combination,0.5,1.125
ΔmutS,39,5,combination,0.5,1.252
ΔmutS,40,5,combination,0.5,1.171
ΔmutS,41,5,combination,0.5,1.043
ΔmutS,42,5,combination,0.5,0.074
ΔmutS,43,5,combination,0.5,1.403
ΔmutS,44,5,combination,0.5,0.741
ΔmutS,45,5,combination,0.5,1.185
ΔmutS,46,5,combination,0.5,1.427
ΔmutS,47,5,combination,0.5,1.372
ΔmutS,48,5,combination,0.5,1.347
ΔmutS,49,5,combination,0.5,0.066
ΔmutS,50,5,combination,0.5,0.138
ΔmutS,51,5,combination,0.5,0.99
ΔmutS,52,5,combination,0.5,1.31
ΔmutS,53,5,combination,0.5,1.336
ΔmutS,54,5,combination,0.5,0.078
ΔmutS,1,6,combination,1,1.496
ΔmutS,2,6,combination,1,0.063
ΔmutS,3,6,combination,1,1.554
ΔmutS,4,6,combination,1,1.155
ΔmutS,5,6,combination,1,1.566
ΔmutS,6,6,combination,1,1.127
ΔmutS,7,6,combination,1,1.489
ΔmutS,8,6,combination,1,1.533
ΔmutS,9,6,combination,1,0.051
ΔmutS,10,6,combination,1,1.308
ΔmutS,11,6,combination,1,1.296
ΔmutS,12,6,combination,1,0.061
ΔmutS,13,6,combination,1,0.056
ΔmutS,14,6,combination,1,1.239
ΔmutS,15,6,combination,1,1.286
ΔmutS,16,6,combination,1,1.139
ΔmutS,17,6,combination,1,1.269
ΔmutS,18,6,combination,1,0.05
ΔmutS,19,6,combination,1,0.076
ΔmutS,20,6,combination,1,1.497
ΔmutS,21,6,combination,1,0.063
ΔmutS,22,6,combination,1,1.392
ΔmutS,23,6,combination,1,1.237
ΔmutS,24,6,combination,1,1.048
ΔmutS,25,6,combination,1,1.501
ΔmutS,26,6,combination,1,0.057
ΔmutS,27,6,combination,1,0.053
ΔmutS,28,6,combination,1,1.052
ΔmutS,29,6,combination,1,0.066
ΔmutS,30,6,combination,1,1.531
ΔmutS,31,6,combination,1,0.944
ΔmutS,32,6,combination,1,1.216
ΔmutS,33,6,combination,1,0.057
ΔmutS,34,6,combination,1,1.026
ΔmutS,35,6,combination,1,0.06
ΔmutS,36,6,combination,1,1.515
ΔmutS,37,6,combination,1,1.36
ΔmutS,38,6,combination,1,0.904
ΔmutS,39,6,combination,1,1.244
ΔmutS,40,6,combination,1,1.464
ΔmutS,41,6,combination,1,1.282
ΔmutS,42,6,combination,1,0.062
ΔmutS,43,6,combination,1,1.562
ΔmutS,44,6,combination,1,1.286
ΔmutS,45,6,combination,1,1.44
ΔmutS,46,6,combination,1,0.805
ΔmutS,47,6,combination,1,0.763
ΔmutS,48,6,combination,1,1.445
ΔmutS,49,6,combination,1,0.057
ΔmutS,50,6,combination,1,0.058
ΔmutS,51,6,combination,1,1.279
ΔmutS,52,6,combination,1,1.163
ΔmutS,53,6,combination,1,1.518
ΔmutS,54,6,combination,1,0.059
ΔmutS,1,7,combination,2,1.533
ΔmutS,2,7,combination,2,0.079
ΔmutS,3,7,combination,2,1.276
ΔmutS,4,7,combination,2,1.403
ΔmutS,5,7,combination,2,1.579
ΔmutS,6,7,combination,2,1.248
ΔmutS,7,7,combination,2,1.334
ΔmutS,8,7,combination,2,1.644
ΔmutS,9,7,combination,2,0.173
ΔmutS,10,7,combination,2,1.495
ΔmutS,11,7,combination,2,1.418
ΔmutS,12,7,combination,2,0.09
ΔmutS,13,7,combination,2,0.081
ΔmutS,14,7,combination,2,1.524
ΔmutS,15,7,combination,2,1.585
ΔmutS,16,7,combination,2,1.496
ΔmutS,17,7,combination,2,1.399
ΔmutS,18,7,combination,2,0.062
ΔmutS,19,7,combination,2,0.097
ΔmutS,20,7,combination,2,1.614
ΔmutS,21,7,combination,2,0.083
ΔmutS,22,7,combination,2,1.326
ΔmutS,23,7,combination,2,1.381
ΔmutS,24,7,combination,2,1.257
ΔmutS,25,7,combination,2,1.488
ΔmutS,26,7,combination,2,0.076
ΔmutS,27,7,combination,2,0.064
ΔmutS,28,7,combination,2,1.224
ΔmutS,29,7,combination,2,0.11
ΔmutS,30,7,combination,2,1.441
ΔmutS,31,7,combination,2,1.2
ΔmutS,32,7,combination,2,1.404
ΔmutS,33,7,combination,2,0.096
ΔmutS,34,7,combination,2,1.236
ΔmutS,35,7,combination,2,0.08
ΔmutS,36,7,combination,2,1.484
ΔmutS,37,7,combination,2,1.399
ΔmutS,38,7,combination,2,1.226
ΔmutS,39,7,combination,2,1.601
ΔmutS,40,7,combination,2,1.52
ΔmutS,41,7,combination,2,1.488
ΔmutS,42,7,combination,2,0.083
ΔmutS,43,7,combination,2,1.494
ΔmutS,44,7,combination,2,1.327
ΔmutS,45,7,combination,2,1.587
ΔmutS,46,7,combination,2,1.194
ΔmutS,47,7,combination,2,1.271
ΔmutS,48,7,combination,2,1.494
ΔmutS,49,7,combination,2,0.075
ΔmutS,50,7,combination,2,0.073
ΔmutS,51,7,combination,2,1.459
ΔmutS,52,7,combination,2,1.488
ΔmutS,53,7,combination,2,1.42
ΔmutS,54,7,combination,2,0.07
BW25113,1,1,combination,0,1.397
BW25113,2,1,combination,0,1.361
BW25113,3,1,combination,0,1.363
BW25113,4,1,combination,0,1.377
BW25113,5,1,combination,0,1.069
BW25113,6,1,combination,0,1.331
BW25113,7,1,combination,0,1.332
BW25113,8,1,combination,0,1.33
BW25113,9,1,combination,0,1.382
BW25113,10,1,combination,0,1.411
BW25113,11,1,combination,0,1.172
BW25113,12,1,combination,0,1.242
BW25113,13,1,combination,0,1.176
BW25113,14,1,combination,0,1.257
BW25113,15,1,combination,0,1.166
BW25113,16,1,combination,0,1.204
BW25113,17,1,combination,0,1.078
BW25113,18,1,combination,0,1.219
BW25113,19,1,combination,0,1.382
BW25113,20,1,combination,0,1.279
BW25113,21,1,combination,0,1.294
BW25113,22,1,combination,0,1.325
BW25113,23,1,combination,0,1.263
BW25113,24,1,combination,0,1.251
BW25113,25,1,combination,0,1.233
BW25113,26,1,combination,0,1.324
BW25113,27,1,combination,0,1.359
BW25113,28,1,combination,0,1.269
BW25113,29,1,combination,0,1.271
BW25113,30,1,combination,0,1.197
BW25113,31,1,combination,0,1.276
BW25113,32,1,combination,0,1.293
BW25113,33,1,combination,0,1.067
BW25113,34,1,combination,0,1.345
BW25113,35,1,combination,0,1.344
BW25113,36,1,combination,0,1.328
BW25113,37,1,combination,0,1.417
BW25113,38,1,combination,0,1.282
BW25113,39,1,combination,0,1.458
BW25113,40,1,combination,0,1.281
BW25113,41,1,combination,0,1.339
BW25113,42,1,combination,0,1.358
BW25113,43,1,combination,0,1.301
BW25113,44,1,combination,0,1.498
BW25113,45,1,combination,0,1.355
BW25113,46,1,combination,0,1.295
BW25113,47,1,combination,0,1.396
BW25113,48,1,combination,0,1.298
BW25113,49,1,combination,0,1.335
BW25113,50,1,combination,0,1.384
BW25113,51,1,combination,0,1.368
BW25113,52,1,combination,0,1.379
BW25113,53,1,combination,0,1.137
BW25113,54,1,combination,0,1.316
BW25113,1,2,combination,0.0625,0.126
BW25113,2,2,combination,0.0625,0.131
BW25113,3,2,combination,0.0625,0.14
BW25113,4,2,combination,0.0625,0.141
BW25113,5,2,combination,0.0625,0.091
BW25113,6,2,combination,0.0625,0.145
BW25113,7,2,combination,0.0625,0.133
BW25113,8,2,combination,0.0625,0.125
BW25113,9,2,combination,0.0625,0.122
BW25113,10,2,combination,0.0625,0.132
BW25113,11,2,combination,0.0625,0.128
BW25113,12,2,combination,0.0625,0.098
BW25113,13,2,combination,0.0625,0.117
BW25113,14,2,combination,0.0625,0.16
BW25113,15,2,combination,0.0625,0.128
BW25113,16,2,combination,0.0625,0.11
BW25113,17,2,combination,0.0625,0.085
BW25113,18,2,combination,0.0625,0.082
BW25113,19,2,combination,0.0625,0.13
BW25113,20,2,combination,0.0625,0.148
BW25113,21,2,combination,0.0625,0.134
BW25113,22,2,combination,0.0625,0.104
BW25113,23,2,combination,0.0625,0.126
BW25113,24,2,combination,0.0625,0.143
BW25113,25,2,combination,0.0625,0.129
BW25113,26,2,combination,0.0625,0.132
BW25113,27,2,combination,0.0625,0.105
BW25113,28,2,combination,0.0625,0.124
BW25113,29,2,combination,0.0625,0.127
BW25113,30,2,combination,0.0625,0.108
BW25113,31,2,combination,0.0625,0.137
BW25113,32,2,combination,0.0625,0.131
BW25113,33,2,combination,0.0625,0.079
BW25113,34,2,combination,0.0625,0.114
BW25113,35,2,combination,0.0625,0.114
BW25113,36,2,combination,0.0625,0.119
BW25113,37,2,combination,0.0625,0.121
BW25113,38,2,combination,0.0625,0.125
BW25113,39,2,combination,0.0625,0.127
BW25113,40,2,combination,0.0625,0.127
BW25113,41,2,combination,0.0625,0.118
BW25113,42,2,combination,0.0625,0.124
BW25113,43,2,combination,0.0625,0.106
BW25113,44,2,combination,0.0625,0.114
BW25113,45,2,combination,0.0625,0.098
BW25113,46,2,combination,0.0625,0.111
BW25113,47,2,combination,0.0625,0.129
BW25113,48,2,combination,0.0625,0.106
BW25113,49,2,combination,0.0625,0.134
BW25113,50,2,combination,0.0625,0.133
BW25113,51,2,combination,0.0625,0.117
BW25113,52,2,combination,0.0625,0.126
BW25113,53,2,combination,0.0625,0.1
BW25113,54,2,combination,0.0625,0.11
BW25113,1,3,combination,0.125,0.044
BW25113,2,3,combination,0.125,0.037
BW25113,3,3,combination,0.125,0.038
BW25113,4,3,combination,0.125,0.041
BW25113,5,3,combination,0.125,0.042
BW25113,6,3,combination,0.125,0.037
BW25113,7,3,combination,0.125,0.037
BW25113,8,3,combination,0.125,0.037
BW25113,9,3,combination,0.125,0.038
BW25113,10,3,combination,0.125,0.041
BW25113,11,3,combination,0.125,0.037
BW25113,12,3,combination,0.125,0.038
BW25113,13,3,combination,0.125,0.036
BW25113,14,3,combination,0.125,0.04
BW25113,15,3,combination,0.125,0.037
BW25113,16,3,combination,0.125,0.037
BW25113,17,3,combination,0.125,0.037
BW25113,18,3,combination,0.125,0.037
BW25113,19,3,combination,0.125,0.039
BW25113,20,3,combination,0.125,0.042
BW25113,21,3,combination,0.125,0.039
BW25113,22,3,combination,0.125,0.037
BW25113,23,3,combination,0.125,0.039
BW25113,24,3,combination,0.125,0.037
BW25113,25,3,combination,0.125,0.038
BW25113,26,3,combination,0.125,0.041
BW25113,27,3,combination,0.125,0.039
BW25113,28,3,combination,0.125,0.037
BW25113,29,3,combination,0.125,0.037
BW25113,30,3,combination,0.125,0.038
BW25113,31,3,combination,0.125,0.039
BW25113,32,3,combination,0.125,0.036
BW25113,33,3,combination,0.125,0.037
BW25113,34,3,combination,0.125,0.039
BW25113,35,3,combination,0.125,0.038
BW25113,36,3,combination,0.125,0.042
BW25113,37,3,combination,0.125,0.037
BW25113,38,3,combination,0.125,0.037
BW25113,39,3,combination,0.125,0.037
BW25113,40,3,combination,0.125,0.037
BW25113,41,3,combination,0.125,0.036
BW25113,42,3,combination,0.125,0.037
BW25113,43,3,combination,0.125,0.037
BW25113,44,3,combination,0.125,0.04
BW25113,45,3,combination,0.125,0.04
BW25113,46,3,combination,0.125,0.04
BW25113,47,3,combination,0.125,0.038
BW25113,48,3,combination,0.125,0.036
BW25113,49,3,combination,0.125,0.037
BW25113,50,3,combination,0.125,0.038
BW25113,51,3,combination,0.125,0.041
BW25113,52,3,combination,0.125,0.038
BW25113,53,3,combination,0.125,0.042
BW25113,54,3,combination,0.125,0.039
BW25113,1,4,combination,0.25,0.043
BW25113,2,4,combination,0.25,0.041
BW25113,3,4,combination,0.25,0.039
BW25113,4,4,combination,0.25,0.038
BW25113,5,4,combination,0.25,0.037
BW25113,6,4,combination,0.25,0.038
BW25113,7,4,combination,0.25,0.039
BW25113,8,4,combination,0.25,0.039
BW25113,9,4,combination,0.25,0.039
BW25113,10,4,combination,0.25,0.044
BW25113,11,4,combination,0.25,0.047
BW25113,12,4,combination,0.25,0.038
BW25113,13,4,combination,0.25,0.044
BW25113,14,4,combination,0.25,0.041
BW25113,15,4,combination,0.25,0.038
BW25113,16,4,combination,0.25,0.04
BW25113,17,4,combination,0.25,0.039
BW25113,18,4,combination,0.25,0.039
BW25113,19,4,combination,0.25,0.068
BW25113,20,4,combination,0.25,0.059
BW25113,21,4,combination,0.25,0.049
BW25113,22,4,combination,0.25,0.045
BW25113,23,4,combination,0.25,0.041
BW25113,24,4,combination,0.25,0.038
BW25113,25,4,combination,0.25,0.039
BW25113,26,4,combination,0.25,0.038
BW25113,27,4,combination,0.25,0.04
BW25113,28,4,combination,0.25,0.073
BW25113,29,4,combination,0.25,0.082
BW25113,30,4,combination,0.25,0.092
BW25113,31,4,combination,0.25,0.101
BW25113,32,4,combination,0.25,0.112
BW25113,33,4,combination,0.25,0.119
BW25113,34,4,combination,0.25,0.125
BW25113,35,4,combination,0.25,0.131
BW25113,36,4,combination,0.25,0.137
BW25113,37,4,combination,0.25,0.173
BW25113,38,4,combination,0.25,0.169
BW25113,39,4,combination,0.25,0.162
BW25113,40,4,combination,0.25,0.161
BW25113,41,4,combination,0.25,0.155
BW25113,42,4,combination,0.25,0.152
BW25113,43,4,combination,0.25,0.146
BW25113,44,4,combination,0.25,0.14
BW25113,45,4,combination,0.25,0.136
BW25113,46,4,combination,0.25,0.187
BW25113,47,4,combination,0.25,0.186
BW25113,48,4,combination,0.25,0.189
BW25113,49,4,combination,0.25,0.192
BW25113,50,4,combination,0.25,0.196
BW25113,51,4,combination,0.25,0.198
BW25113,52,4,combination,0.25,0.201
BW25113,53,4,combination,0.25,0.206
BW25113,54,4,combination,0.25,0.208
BW25113,1,5,combination,0.5,0.05
BW25113,2,5,combination,0.5,0.045
BW25113,3,5,combination,0.5,0.044
BW25113,4,5,combination,0.5,0.044
BW25113,5,5,combination,0.5,0.043
BW25113,6,5,combination,0.5,0.044
BW25113,7,5,combination,0.5,0.044
BW25113,8,5,combination,0.5,0.044
BW25113,9,5,combination,0.5,0.044
BW25113,10,5,combination,0.5,0.051
BW25113,11,5,combination,0.5,0.046
BW25113,12,5,combination,0.5,0.045
BW25113,13,5,combination,0.5,0.044
BW25113,14,5,combination,0.5,0.044
BW25113,15,5,combination,0.5,0.044
BW25113,16,5,combination,0.5,0.046
BW25113,17,5,combination,0.5,0.052
BW25113,18,5,combination,0.5,0.05
BW25113,19,5,combination,0.5,0.078
BW25113,20,5,combination,0.5,0.069
BW25113,21,5,combination,0.5,0.065
BW25113,22,5,combination,0.5,0.059
BW25113,23,5,combination,0.5,0.057
BW25113,24,5,combination,0.5,0.052
BW25113,25,5,combination,0.5,0.052
BW25113,26,5,combination,0.5,0.047
BW25113,27,5,combination,0.5,0.044
BW25113,28,5,combination,0.5,0.058
BW25113,29,5,combination,0.5,0.047
BW25113,30,5,combination,0.5,0.045
BW25113,31,5,combination,0.5,0.042
BW25113,32,5,combination,0.5,0.043
BW25113,33,5,combination,0.5,0.045
BW25113,34,5,combination,0.5,0.043
BW25113,35,5,combination,0.5,0.045
BW25113,36,5,combination,0.5,0.045
BW25113,37,5,combination,0.5,0.053
BW25113,38,5,combination,0.5,0.043
BW25113,39,5,combination,0.5,0.042
BW25113,40,5,combination,0.5,0.043
BW25113,41,5,combination,0.5,0.042
BW25113,42,5,combination,0.5,0.043
BW25113,43,5,combination,0.5,0.049
BW25113,44,5,combination,0.5,0.042
BW25113,45,5,combination,0.5,0.044
BW25113,46,5,combination,0.5,0.049
BW25113,47,5,combination,0.5,0.047
BW25113,48,5,combination,0.5,0.043
BW25113,49,5,combination,0.5,0.05
BW25113,50,5,combination,0.5,0.044
BW25113,51,5,combination,0.5,0.043
BW25113,52,5,combination,0.5,0.044
BW25113,53,5,combination,0.5,0.043
BW25113,54,5,combination,0.5,0.044
BW25113,1,6,combination,1,0.067
BW25113,2,6,combination,1,0.054
BW25113,3,6,combination,1,0.05
BW25113,4,6,combination,1,0.054
BW25113,5,6,combination,1,0.05
BW25113,6,6,combination,1,0.05
BW25113,7,6,combination,1,0.051
BW25113,8,6,combination,1,0.052
BW25113,9,6,combination,1,0.051
BW25113,10,6,combination,1,0.071
BW25113,11,6,combination,1,0.057
BW25113,12,6,combination,1,0.052
BW25113,13,6,combination,1,0.052
BW25113,14,6,combination,1,0.05
BW25113,15,6,combination,1,0.049
BW25113,16,6,combination,1,0.051
BW25113,17,6,combination,1,0.051
BW25113,18,6,combination,1,0.049
BW25113,19,6,combination,1,0.073
BW25113,20,6,combination,1,0.059
BW25113,21,6,combination,1,0.052
BW25113,22,6,combination,1,0.051
BW25113,23,6,combination,1,0.05
BW25113,24,6,combination,1,0.051
BW25113,25,6,combination,1,0.051
BW25113,26,6,combination,1,0.05
BW25113,27,6,combination,1,0.052
BW25113,28,6,combination,1,0.073
BW25113,29,6,combination,1,0.059
BW25113,30,6,combination,1,0.053
BW25113,31,6,combination,1,0.049
BW25113,32,6,combination,1,0.051
BW25113,33,6,combination,1,0.05
BW25113,34,6,combination,1,0.055
BW25113,35,6,combination,1,0.052
BW25113,36,6,combination,1,0.051
BW25113,37,6,combination,1,0.071
BW25113,38,6,combination,1,0.056
BW25113,39,6,combination,1,0.052
BW25113,40,6,combination,1,0.051
BW25113,41,6,combination,1,0.052
BW25113,42,6,combination,1,0.052
BW25113,43,6,combination,1,0.054
BW25113,44,6,combination,1,0.05
BW25113,45,6,combination,1,0.052
BW25113,46,6,combination,1,0.068
BW25113,47,6,combination,1,0.053
BW25113,48,6,combination,1,0.052
BW25113,49,6,combination,1,0.05
BW25113,50,6,combination,1,0.052
BW25113,51,6,combination,1,0.049
BW25113,52,6,combination,1,0.053
BW25113,53,6,combination,1,0.051
BW25113,54,6,combination,1,0.052
BW25113,1,7,combination,2,0.087
BW25113,2,7,combination,2,0.069
BW25113,3,7,combination,2,0.076
BW25113,4,7,combination,2,0.071
BW25113,5,7,combination,2,0.064
BW25113,6,7,combination,2,0.064
BW25113,7,7,combination,2,0.063
BW25113,8,7,combination,2,0.057
BW25113,9,7,combination,2,0.06
BW25113,10,7,combination,2,0.094
BW25113,11,7,combination,2,0.078
BW25113,12,7,combination,2,0.062
BW25113,13,7,combination,2,0.059
BW25113,14,7,combination,2,0.064
BW25113,15,7,combination,2,0.064
BW25113,16,7,combination,2,0.059
BW25113,17,7,combination,2,0.072
BW25113,18,7,combination,2,0.058
BW25113,19,7,combination,2,0.111
BW25113,20,7,combination,2,0.087
BW25113,21,7,combination,2,0.067
BW25113,22,7,combination,2,0.064
BW25113,23,7,combination,2,0.072
BW25113,24,7,combination,2,0.08
BW25113,25,7,combination,2,0.06
BW25113,26,7,combination,2,0.059
BW25113,27,7,combination,2,0.058
BW25113,28,7,combination,2,0.11
BW25113,29,7,combination,2,0.089
BW25113,30,7,combination,2,0.068
BW25113,31,7,combination,2,0.064
BW25113,32,7,combination,2,0.067
BW25113,33,7,combination,2,0.059
BW25113,34,7,combination,2,0.066
BW25113,35,7,combination,2,0.064
BW25113,36,7,combination,2,0.058
BW25113,37,7,combination,2,0.099
BW25113,38,7,combination,2,0.074
BW25113,39,7,combination,2,0.07
BW25113,40,7,combination,2,0.06
BW25113,41,7,combination,2,0.076
BW25113,42,7,combination,2,0.063
BW25113,43,7,combination,2,0.101
BW25113,44,7,combination,2,0.062
BW25113,45,7,combination,2,0.061
BW25113,46,7,combination,2,0.086
BW25113,47,7,combination,2,0.07
BW25113,48,7,combination,2,0.073
BW25113,49,7,combination,2,0.059
BW25113,50,7,combination,2,0.059
BW25113,51,7,combination,2,0.06
BW25113,52,7,combination,2,0.065
BW25113,53,7,combination,2,0.064
BW25113,54,7,combination,2,0.064
